Time (s),Voltage (V),Current (mA),Charge (mA.h),Temperature (degC)
49426.99634765624,3.1289446,-500.00555,4466.343844477835,26.708527
49427.99634770374,3.128787,-499.86768,4466.482726983176,26.566172
49428.99634775124,3.1287084,-499.98584,4466.621609740083,26.34473
49429.99634779873,3.1285901,-499.98584,4466.760492792569,26.408001
49430.99634784623,3.1285114,-499.92676,4466.899375494731,26.447542
49431.99634789373,3.1283932,-499.98584,4467.03825765007,26.305189
49432.99634794123,3.1282752,-499.96613,4467.177141140161,26.463358
49433.99634798872,3.1282752,-499.98584,4467.316024039246,26.368456
49434.99634803622,3.1281176,-500.04495,4467.454907540206,26.447542
49435.99634808372,3.1279206,-499.88736,4467.59379131506,26.463358
49436.99634813122,3.1279206,-500.02524,4467.732676238885,26.455452
49437.99634817871,3.1278419,-499.98584,4467.871561096418,26.526628
49438.99634822621,3.1276844,-499.94644,4468.010444619028,26.487087
49439.99634827371,3.127645,-499.88736,4468.149328087165,26.566172
49440.99634832121,3.1275268,-500.08429,4468.288212726209,26.502903
49441.9963483687,3.1273694,-500.02524,4468.427097430578,26.526628
49442.9963484162,3.1273694,-499.96613,4468.565981850931,26.57408
49443.9963484637,3.1271725,-500.00555,4468.704865362911,26.313095
49444.99634851119,3.1270542,-499.96613,4468.843748010328,26.526628
49445.99634855869,3.1269362,-500.00555,4468.982631686237,26.423817
49446.99634860619,3.1269755,-499.92676,4469.121516631695,26.313095
49447.99634865369,3.1268969,-499.92676,4469.260400176295,26.550354
49448.99634870118,3.1266606,-500.00555,4469.399284257292,26.265644
49449.99634874868,3.1265817,-499.84796,4469.538167966347,26.487087
49450.99634879618,3.1264637,-499.92676,4469.677051522153,26.463358
49451.99634884368,3.1263847,-500.00555,4469.81593490267,26.518719
49452.99634889117,3.1263061,-499.94644,4469.954818480398,26.542444
49453.99634893867,3.1261878,-499.92676,4470.093700547981,26.62944
49454.99634898617,3.1260304,-499.92676,4470.232584585253,26.581989
49455.99634903367,3.1260698,-500.00555,4470.371468863207,26.463358
49456.99634908116,3.1259515,-499.98584,4470.510352145542,26.605715
49457.99634912866,3.1258335,-500.00555,4470.649233961372,26.431726
49458.99634917616,3.1257942,-499.94644,4470.788117156071,26.716436
49459.99634922366,3.1256366,-500.04495,4470.92700204714,26.518719
49460.99634927115,3.1255579,-500.04495,4471.065884574538,26.597805
49461.99634931865,3.1254003,-500.00555,4471.204768600705,26.463358
49462.99634936615,3.1254003,-500.00555,4471.34365232034,26.487087
49463.99634941365,3.125164,-499.88736,4471.48253591982,26.605715
49464.99634946114,3.125164,-499.98584,4471.621420405887,26.621532
49465.99634950864,3.1250458,-499.90707,4471.760304563517,26.431726
49466.99634955614,3.1248491,-500.04495,4471.899187758249,26.384275
49467.99634960364,3.1247702,-499.92676,4472.03807082118,26.336821
49468.99634965113,3.1246915,-500.00555,4472.176954125335,26.534538
49469.99634969863,3.1244946,-499.96613,4472.315838140719,26.597805
49470.99634974613,3.1244946,-499.98584,4472.454720109917,26.653166
49471.99634979363,3.124337,-500.04495,4472.593603852016,26.400091
49472.99634984112,3.1242189,-499.88736,4472.732487057633,26.313095
49473.99634988862,3.12414,-499.96613,4472.871369628501,26.510813
49474.99634993612,3.1241007,-499.94644,4473.010252636941,26.668983
49475.99634998362,3.1239827,-500.00555,4473.14913593033,26.328915
49476.99635003111,3.1237857,-499.98584,4473.288018687288,26.542444
49477.99635007861,3.1237068,-499.90707,4473.426902341565,26.526628
49478.99635012611,3.1237068,-500.04495,4473.565784835936,26.34473
49479.99635017361,3.1237068,-499.96613,4473.704667308351,26.368456
49480.9963502211,3.1235101,-499.90707,4473.843550316673,26.621532
49481.9963502686,3.1233132,-499.96613,4473.982432690822,26.360546
49482.9963503161,3.1233525,-500.02524,4474.121314966314,26.63735
49483.9963503636,3.1231556,-499.96613,4474.260197373134,26.479177
49484.99635041109,3.1231163,-499.84796,4474.39907760244,26.763887
49485.99635045859,3.12288,-500.02524,4474.53795941788,26.479177
49486.99635050609,3.122998,-499.98584,4474.676841627675,26.336821
49487.99635055359,3.1228011,-500.08429,4474.81572457052,26.439632
49488.99635060108,3.1227617,-499.94644,4474.954607053667,26.35264
49489.99635064858,3.122683,-500.08429,4475.093490893796,26.431726
49490.99635069608,3.1225255,-499.96613,4475.232374679298,26.336821
49491.99635074358,3.1223679,-500.02524,4475.371258191685,26.581989
49492.99635079107,3.1222498,-499.90707,4475.510142349315,26.400091
49493.99635083857,3.1222105,-499.98584,4475.649026309903,26.439632
49494.99635088607,3.1220922,-500.00555,4475.787909844059,26.566172
49495.99635093356,3.1219349,-500.02524,4475.926793585836,26.63735
49496.99635098106,3.121856,-499.98584,4476.065676791385,26.376366
49497.99635102856,3.1218953,-500.00555,4476.204558935499,26.423817
49498.99635107606,3.1217773,-499.84796,4476.34344219598,26.558264
49499.99635112355,3.1216197,-499.94644,4476.482324919996,26.645258
49500.99635117105,3.121541,-499.98584,4476.621208705702,26.526628
49501.99635121855,3.1214621,-499.96613,4476.760090762298,26.534538
49502.99635126605,3.1212654,-500.04495,4476.898972304589,26.534538
49503.99635131354,3.1211472,-500.10403,4477.03785670285,26.518719
49504.99635136104,3.1211078,-500.04495,4477.176739755405,26.487087
49505.99635140854,3.1208715,-499.94644,4477.315621472934,26.700619
49506.99635145604,3.1209896,-499.92676,4477.45450493022,26.502903
49507.99635150353,3.1208322,-499.98584,4477.593388255686,26.550354
49508.99635155103,3.1206746,-500.00555,4477.73227175685,26.502903
49509.99635159853,3.1206353,-499.90707,4477.871154874983,26.463358
49510.99635164603,3.1204777,-499.94644,4478.010036472121,26.518719
49511.99635169352,3.1204383,-500.04495,4478.148919710206,26.566172
49512.99635174102,3.1203201,-500.04495,4478.287802949019,26.479177
49513.99635178852,3.1202021,-500.00555,4478.426685924619,26.510813
49514.99635183602,3.1202021,-499.92676,4478.565568649075,26.328915
49515.99635188351,3.1200445,-500.04495,4478.704451329061,26.408001
49516.99635193101,3.1199265,-500.02524,4478.84333524601,26.408001
49517.99635197851,3.1198475,-500.00555,4478.982217915416,26.661076
49518.99635202601,3.1197295,-499.88736,4479.121101142599,26.510813
49519.9963520735,3.1195326,-499.96613,4479.259983812141,26.479177
49520.996352121,3.1195326,-499.94644,4479.398868866785,26.321005
49521.9963521685,3.1194143,-500.02524,4479.537751864526,26.273554
49522.996352216,3.1192963,-500.00555,4479.676635836135,26.526628
49523.99635226349,3.1191781,-499.96613,4479.815519490411,26.716436
49524.99635231099,3.1190994,-500.00555,4479.954402149154,26.510813
49525.99635235849,3.1190994,-499.92676,4480.093284895329,26.447542
49526.99635240599,3.1190207,-500.02524,4480.232167138117,26.502903
49527.99635245348,3.1189418,-499.98584,4480.371049282553,26.676893
49528.99635250098,3.1187055,-500.04495,4480.509932269376,26.479177
49529.99635254848,3.1185875,-499.98584,4480.648816777161,26.415907
49530.99635259598,3.1186268,-499.96613,4480.787699501431,26.305189
49531.99635264347,3.1185479,-499.94644,4480.926582597507,26.502903
49532.99635269097,3.1184299,-499.90707,4481.065463253465,26.447542
49533.99635273847,3.1181147,-500.08429,4481.204345462904,26.502903
49534.99635278597,3.1181543,-499.98584,4481.343228570051,26.63735
49535.99635283346,3.1179574,-499.92676,4481.482111644629,26.463358
49536.99635288096,3.1178784,-499.96613,4481.620993230763,26.550354
49537.99635292846,3.1177998,-499.96613,4481.759875385796,26.273554
49538.99635297596,3.1177604,-500.06464,4481.898758306819,26.558264
49539.99635302345,3.1176817,-500.22217,4482.037640768163,26.795523
49540.99635307095,3.1175635,-500.02524,4482.176525012989,26.526628
49541.99635311845,3.1174848,-500.08429,4482.315408327978,26.510813
49542.99635316595,3.1173666,-499.94644,4482.454291205345,26.645258
49543.99635321344,3.1172485,-499.90707,4482.593174366898,26.463358
49544.99635326094,3.117209,-499.92676,4482.732058119509,26.502903
49545.99635330844,3.1170909,-500.04495,4482.870941248358,26.558264
49546.99635335593,3.1168547,-499.92676,4483.009823490908,26.787615
49547.99635340343,3.116894,-499.96613,4483.148707495205,26.589899
49548.99635345093,3.1167364,-499.98584,4483.287590580447,26.439632
49549.99635349843,3.1166971,-499.96613,4483.426473829721,26.597805
49550.99635354592,3.1165395,-499.92676,4483.565356313241,26.684801
49551.99635359342,3.1164215,-500.02524,4483.704239945359,26.487087
49552.99635364092,3.1163428,-500.06464,4483.84312463903,26.510813
49553.99635368842,3.1161852,-500.08429,4483.982007844427,26.502903
49554.99635373591,3.1161065,-499.90707,4484.120889988575,26.502903
49555.99635378341,3.1159883,-499.96613,4484.259773850795,26.28937
49556.99635383091,3.1159883,-500.00555,4484.398656268686,26.479177
49557.99635387841,3.11587,-500.10403,4484.537539791584,26.534538
49558.9963539259,3.1157126,-500.00555,4484.676422296823,26.645258
49559.9963539734,3.1156337,-499.96613,4484.815306804236,26.700619
49560.9963540209,3.1156337,-500.06464,4484.954191060132,26.510813
49561.9963540684,3.115437,-499.94644,4485.09307558989,26.305189
49562.99635411589,3.1153975,-500.04495,4485.231959386395,26.384275
49563.99635416339,3.1152794,-499.98584,4485.370843084549,26.423817
49564.99635421089,3.1150825,-499.94644,4485.509728216181,26.455452
49565.99635425839,3.1150825,-499.96613,4485.648614113822,26.558264
49566.99635430588,3.1150432,-499.94644,4485.787497954171,26.34473
49567.99635435338,3.1148462,-500.08429,4485.926381980474,26.447542
49568.99635440088,3.114728,-500.08429,4486.065265448762,26.28937
49569.99635444838,3.1146886,-499.98584,4486.204148369888,26.63735
49570.99635449587,3.1145706,-499.98584,4486.34303250524,26.502903
49571.99635454337,3.114413,-499.90707,4486.481916127083,26.589899
49572.99635459087,3.1143737,-500.02524,4486.620798413374,26.740162
49573.99635463837,3.1141374,-500.08429,4486.759681848585,26.589899
49574.99635468586,3.1140585,-499.94644,4486.898565404019,26.558264
49575.99635473336,3.1140192,-499.98584,4487.037446968384,26.526628
49576.99635478086,3.1139011,-500.00555,4487.176328357392,26.447542
49577.99635482836,3.1138616,-500.00555,4487.315211169231,26.471268
49578.99635487585,3.1138222,-500.06464,4487.454093893602,26.581989
49579.99635492335,3.1135859,-499.96613,4487.592977843391,26.63735
49580.99635497085,3.1136649,-500.06464,4487.731860512848,26.502903
49581.99635501835,3.1134286,-500.08429,4487.870744703556,26.676893
49582.99635506584,3.1134286,-500.04495,4488.009629430101,26.534538
49583.99635511334,3.113271,-500.08429,4488.148513270179,26.502903
49584.99635516084,3.1131134,-499.98584,4488.287395972494,26.526628
49585.99635520834,3.1130347,-500.06464,4488.426278642104,26.566172
49586.99635525583,3.1129954,-499.92676,4488.565163139038,26.447542
49587.99635530333,3.1129165,-499.90707,4488.704048894467,26.447542
49588.99635535083,3.1127591,-500.04495,4488.842932395799,26.653166
49589.99635539833,3.1127591,-499.92676,4488.981814922926,26.621532
49590.99635544582,3.1125228,-499.88736,4489.120699036814,26.597805
49591.99635549332,3.1124439,-499.96613,4489.25958405882,26.400091
49592.99635554082,3.1123259,-499.96613,4489.398466771714,26.62944
49593.99635558832,3.112247,-499.94644,4489.537348664076,26.455452
49594.99635563581,3.1121683,-499.86768,4489.676232624885,26.226103
49595.99635568331,3.1120896,-499.94644,4489.815116585523,26.510813
49596.99635573081,3.1120107,-499.88736,4489.953999298774,26.487087
49597.9963557783,3.111932,-499.86768,4490.092881016201,26.57408
49598.9963558258,3.1118927,-500.04495,4490.231763849759,26.589899
49599.9963558733,3.1116564,-500.02524,4490.370647350735,26.439632
49600.9963559208,3.1116564,-499.94644,4490.509531278534,26.360546
49601.99635596829,3.1114595,-499.92676,4490.648416355659,26.328915
49602.99635601579,3.1114988,-499.92676,4490.787300196126,26.471268
49603.99635606329,3.1114202,-500.06464,4490.926182986111,26.479177
49604.99635611079,3.1111443,-500.02524,4491.065066443413,26.534538
49605.99635615828,3.111105,-499.84796,4491.203950546485,26.597805
49606.99635620578,3.1109474,-499.96613,4491.342834145796,26.479177
49607.99635625328,3.1108687,-500.00555,4491.481716760508,26.431726
49608.99635630078,3.1108294,-500.08429,4491.620600195787,26.550354
49609.99635634827,3.1106718,-500.04495,4491.75948415624,26.534538
49610.99635639577,3.1105537,-500.04495,4491.898366781786,26.376366
49611.99635644327,3.1105537,-500.00555,4492.037250468699,26.479177
49612.99635649077,3.1103961,-499.90707,4492.176135545231,26.328915
49613.99635653826,3.1102386,-500.12369,4492.315019451226,26.518719
49614.99635658576,3.1101599,-499.86768,4492.453903247731,26.218193
49615.99635663326,3.1101599,-499.90707,4492.592786737501,26.518719
49616.99635668076,3.1100023,-499.86768,4492.731668925425,26.566172
49617.99635672825,3.1099236,-499.92676,4492.870551485274,26.518719
49618.99635677575,3.1098449,-499.96613,4493.009434603051,26.471268
49619.99635682325,3.109648,-499.94644,4493.148317053612,26.518719
49620.99635687075,3.109648,-499.98584,4493.287199832441,26.558264
49621.99635691824,3.1095297,-499.96613,4493.426085193515,26.494993
49622.99635696574,3.1092935,-499.98584,4493.564969176042,26.661076
49623.99635701324,3.1092148,-500.00555,4493.703851243523,26.431726
49624.99635706074,3.1090965,-499.90707,4493.842733464388,26.62944
49625.99635710823,3.1091359,-499.94644,4493.981617020263,26.463358
49626.99635715573,3.1089785,-499.96613,4494.120500980614,26.621532
49627.99635720323,3.1088996,-499.98584,4494.259384339615,26.471268
49628.99635725073,3.1088209,-500.16309,4494.398267752938,26.526628
49629.99635729822,3.1087422,-500.08429,4494.537151571501,26.510813
49630.99635734572,3.108624,-499.94644,4494.676036090154,26.447542
49631.99635739322,3.108506,-499.98584,4494.814920663332,26.716436
49632.99635744072,3.108309,-500.04495,4494.953804667764,26.57408
